ID,AgeBracket,SexAtBirth,CurrentSex,Ethnicity,HighestEducation,HRQOL1,HRQOL2,PWB1,PWB2,PWB3,PWB4,PWB5,PWB6,PWB7,PWB8,PWB9,PWB10,PWB11,PWB12,PWB13,PWB14,PWB15,PWB16,PWB17,PWB18,WEMWBS1,WEMWBS2,WEMWBS3,WEMWBS4,WEMWBS5,WEMWBS6,WEMWBS7,WEMWBS8,WEMWBS9,WEMWBS10,WEMWBS11,WEMWBS12,WEMWBS13,WEMWBS14,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,SC0,SC1,SC2,SC3
115,18-33,Female,Non-binary / third gender,,,Good,,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Often,Some of the time,Often,Some of the time,Often,Often,Some of the time,Some of the time,Often,Often,Often,Often,Often,Some of the time,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,3,102,51,73
116,18-33,Female,,Other British,Undergraduate Degree,Very Good,0-5,Somewhat agree,Strongly agree,Strongly agree,A little agree,Somewhat disagree,A little disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,A little agree,Strongly agree,Some of the time,Often,Rarely,Often,Rarely,Often,Often,Some of the time,Often,Some of the time,Often,All of the time,Often,Some of the time,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Mildly agree,2,114,49,79
117,18-33,Female,Female,Other British,Undergraduate Degree,Good,0-5,Somewhat agree,Somewhat agree,Neither agree nor disagree,A little agree,A little disagree,Somewhat disagree,A little agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,A little disagree,Somewhat agree,Somewhat disagree,A little agree,A little disagree,Often,Some of the time,Some of the time,Often,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,Often,Strongly agree,Strongly agree,Mildly agree,Mildly agree,Mildly agree,Mildly agree,Mildly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,3,92,46,66
118,18-33,Female,Female,Irish,Undergraduate Degree,Fair,0-5,A little agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,A little agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,A little agree,Somewhat disagree,A little disagree,A little disagree,A little agree,Somewhat agree,Often,Often,Some of the time,All of the time,Often,Often,Often,Often,Often,Often,Often,Some of the time,All of the time,Often,Mildly agree,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4,83,56,70
119,18-33,Female,Female,"Indian, Indian Scottish or Indian British","Postgraduate Qualification, Masters",Very Good,05-Oct,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,A little agree,Strongly agree,Strongly disagree,A little agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Some of the time,Some of the time,Rarely,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Often,Some of the time,Often,Rarely,Mildly agree,Mildly agree,Strongly agree,Very strongly agree,Neutral,Mildly agree,Strongly agree,Very strongly agree,Mildly agree,Mildly agree,Very strongly agree,Mildly agree,2,98,40,67
120,18-33,Male,,,,Excellent,0-5,Strongly agree,Somewhat agree,A little agree,Somewhat disagree,A little disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,A little disagree,Strongly disagree,Strongly agree,Strongly agree,Often,All of the time,Often,Often,Some of the time,Often,Often,Often,Often,Often,Often,Often,Often,Often,Strongly agree,Mildly agree,Strongly agree,Mildly agree,Mildly agree,Neutral,Neutral,Mildly agree,Mildly agree,Mildly agree,Strongly agree,Mildly agree,1,116,56,61
121,18-33,Female,Female,Other (not listed),"Postgraduate Qualification, Masters",Very Good,0-5,Somewhat agree,Strongly agree,Somewhat agree,A little agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Often,Often,Some of the time,Often,Some of the time,Often,Often,Often,Often,Some of the time,Often,Often,Often,Often,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2,116,53,73
122,18-33,Male,,Other British,"Postgraduate Qualification, Masters",Very Good,None,Somewhat agree,A little disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,A little agree,A little agree,A little agree,Somewhat disagree,Somewhat disagree,A little agree,Strongly agree,A little disagree,Rarely,Rarely,Rarely,Some of the time,Rarely,Rarely,Rarely,None of the time,Some of the time,Rarely,Often,Some of the time,Some of the time,Rarely,Strongly agree,Strongly agree,Mildly agree,Neutral,Strongly agree,Mildly disagree,Strongly disagree,Strongly agree,Mildly disagree,Very strongly agree,Mildly agree,Strongly disagree,2,72,33,55
123,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Very Good,None,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,A little disagree,Strongly agree,Strongly agree,A little agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Often,Often,Often,Often,Rarely,Some of the time,Often,All of the time,Rarely,Often,All of the time,Often,Often,Often,Neutral,Mildly agree,Very strongly agree,Very strongly agree,Neutral,Strongly agree,Neutral,Very strongly agree,Strongly agree,Strongly agree,Neutral,Very strongly agree,2,112,53,67
124,18-33,Female,Female,Scottish,Undergraduate Degree,Excellent,None,Somewhat agree,Strongly agree,Strongly agree,A little agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,A little agree,Strongly disagree,Somewhat agree,Strongly agree,Often,Often,Rarely,Often,Rarely,Often,Often,Often,All of the time,Some of the time,Often,All of the time,Some of the time,Often,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,1,110,52,83
125,18-33,Female,,Other white ethnic group,Undergraduate Degree,Very Good,None,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,A little agree,Strongly disagree,Strongly agree,Somewhat agree,A little agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,A little disagree,Often,Some of the time,Some of the time,Often,Often,Often,Often,Some of the time,Often,Some of the time,Often,Some of the time,Often,Often,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Very strongly agree,Strongly agree,Strongly agree,Very strongly agree,2,110,51,74
126,18-33,Female,,Irish,Undergraduate Degree,Very Good,0-5,Somewhat agree,Somewhat agree,A little agree,Somewhat disagree,Strongly disagree,A little disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,A little disagree,A little agree,Strongly disagree,Somewhat agree,Somewhat agree,Often,Often,Some of the time,Often,Some of the time,Some of the time,Often,Often,Some of the time,Some of the time,Often,Some of the time,Often,Some of the time,Strongly agree,Very strongly agree,Mildly agree,Mildly agree,Very strongly agree,Mildly agree,Mildly agree,Mildly disagree,Strongly agree,Very strongly agree,Mildly agree,Strongly agree,2,107,49,67
127,18-33,Female,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Very Good,None,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,A little agree,Strongly disagree,Somewhat agree,Somewhat agree,Often,Often,Some of the time,Often,Some of the time,Often,Often,Often,Often,Often,Often,All of the time,Often,Some of the time,Very strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Very strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,2,117,54,79
128,18-33,Female,,"Indian, Indian Scottish or Indian British",,Very Good,0-5,Somewhat agree,Somewhat agree,Somewhat agree,A little agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,A little disagree,Strongly agree,Strongly agree,Often,Often,Some of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,Some of the time,Often,Often,Often,Often,Some of the time,Mildly disagree,Mildly disagree,Strongly agree,Neutral,Mildly disagree,Mildly disagree,Mildly disagree,Strongly disagree,Neutral,Mildly disagree,Mildly disagree,Mildly agree,2,105,49,42
129,18-33,Female,Female,"Arab, Arab Scottish or Arab British","Postgraduate Qualification, Masters",Very Good,0-5,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree,A little disagree,Somewhat disagree,Strongly disagree,A little agree,Strongly disagree,A little agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Some of the time,Rarely,Rarely,Often,Some of the time,Some of the time,Some of the time,Some of the time,None of the time,Rarely,Some of the time,Rarely,Rarely,Rarely,Mildly agree,Mildly agree,Very strongly agree,Strongly agree,Mildly agree,Very strongly agree,Very strongly agree,Neutral,Very strongly agree,Mildly agree,Mildly agree,Very strongly agree,2,98,35,70
130,18-33,Female,,Other white ethnic group,"Postgraduate Qualification, Masters",Fair,0-5,A little disagree,A little agree,Somewhat agree,Somewhat agree,A little agree,A little agree,Strongly disagree,Somewhat disagree,A little agree,Neither agree nor disagree,Neither agree nor disagree,A little agree,Somewhat agree,Somewhat disagree,A little disagree,A little agree,Somewhat agree,Somewhat disagree,Rarely,Some of the time,Rarely,Often,Often,Rarely,Rarely,None of the time,Some of the time,Rarely,Often,Some of the time,Some of the time,Some of the time,Mildly agree,Mildly agree,Mildly disagree,Mildly disagree,Mildly agree,Mildly agree,Mildly agree,Mildly disagree,Mildly agree,Strongly agree,Neutral,Mildly agree,4,77,38,54
131,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,05-Oct,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,A little disagree,Somewhat disagree,Strongly disagree,A little agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Neither agree nor disagree,A little disagree,A little agree,Neither agree nor disagree,Often,Often,Some of the time,All of the time,Often,Often,All of the time,Some of the time,Some of the time,Some of the time,Often,Often,All of the time,Some of the time,Mildly agree,Strongly agree,Very strongly agree,Strongly agree,Neutral,Mildly agree,Mildly agree,Very strongly agree,Neutral,Very strongly agree,Very strongly agree,Mildly agree,3,106,54,68
132,34-48,Female,,Scottish,"Postgraduate Qualification, Masters",Very Good,05-Oct,A little disagree,A little disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,A little agree,A little agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,A little disagree,A little agree,Some of the time,Some of the time,Rarely,All of the time,Rarely,Some of the time,Some of the time,Rarely,Often,Some of the time,Some of the time,Often,Some of the time,Some of the time,Strongly agree,Strongly agree,Mildly agree,Mildly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,2,83,43,63
133,,,,"Chinese, Chinese Scottish or Chinese British",,Excellent,None,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Some of the time,Some of the time,Often,Often,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Often,Often,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,1,105,62,79
134,18-33,Female,Female,Other British,Undergraduate Degree,Poor,Oct-15,Somewhat agree,Somewhat agree,Strongly agree,A little agree,Strongly disagree,A little agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,A little agree,A little agree,Strongly agree,Often,Often,Often,Some of the time,Often,Some of the time,Often,Some of the time,Some of the time,Some of the time,Often,Often,Often,Some of the time,Very strongly agree,Very strongly agree,Mildly agree,Neutral,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,5,105,50,78
135,18-33,Female,,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,0-5,Neither agree nor disagree,A little disagree,A little disagree,Neither agree nor disagree,Neither agree nor disagree,A little agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,A little disagree,A little agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,A little disagree,A little agree,A little agree,Some of the time,Some of the time,Often,Some of the time,Often,Often,Often,Some of the time,Some of the time,Some of the time,Often,Some of the time,Often,Some of the time,Neutral,Mildly agree,Mildly agree,Neutral,Mildly agree,Mildly agree,Neutral,Neutral,Mildly agree,Neutral,Neutral,Mildly agree,3,72,48,54
